代码,名称,最新价,市盈率,市净率,总市值,涨跌幅,格雷厄姆评分,巴菲特评分,林奇评分,综合评分,投资建议
603790,雅运股份,19.05,33.11,3.0,3645408000.0,2.86,20,38,48,35.6,不推荐
688247,宣泰医药,12.3,68.04,4.37,5576082000.0,2.84,15,43,49,36.4,不推荐
600010,包钢股份,2.54,639.58,2.22,115033093144.0,2.83,17,53,45,39.8,不推荐
300288,朗玛信息,16.43,213.7,5.14,5552377235.0,2.82,15,35,43,31.4,不推荐
002377,国创高新,3.29,344.39,6.4,3014709911.0,2.81,15,35,37,29.6,不推荐
300571,平治信息,33.0,109.4,3.16,4604433702.0,2.77,15,38,42,32.3,不推荐
603816,顾家家居,26.99,10.68,2.4,22179613298.0,2.66,45,52,52,49.9,不推荐
300793,佳禾智能,18.41,111.02,2.35,7005472467.0,2.62,17,38,51,35.6,不推荐
603978,深圳新星,19.2,418.46,2.34,4053010541.0,2.62,17,38,45,33.8,不推荐
600728,佳都科技,5.91,26.17,1.63,12603661633.0,2.6,35,52,59,49.0,不推荐
002265,建设工业,39.82,298.85,11.24,41135669007.0,2.6,15,28,35,26.2,不推荐
002436,兴森科技,16.68,756.22,5.6,28350555031.0,2.58,15,45,41,34.8,不推荐
002030,达安基因,7.29,48.33,1.29,10231121573.0,2.53,28,43,56,42.4,不推荐
688109,品茗科技,36.2,710.02,3.77,2854091260.0,2.52,15,43,42,34.3,不推荐
603151,邦基科技,25.52,38.64,3.41,4327418004.0,2.49,20,43,48,37.6,不推荐
